사랑의 선물,10,같은 하늘 아래 같은 모습을 한 인간의 삶. 그러나 어떻게 이렇게 달라도 다를 수 있는지 참 아이러니하고 말도 안되는 현실이 바로 지금 이순간 여기에 있다. 북한이라는 나라의 독특한 구조와 그 내면에 이같은 비극적 삶이 있다는 것. 가슴아프다.
글래스,10,과한듯 하지만 많은 생각을 했다는 걸 알 수 있다
더 가디언즈,7,왜 여기는평점이 ㅈㄹ맞냐..러시아영화치고 재밌더만 애들만 잔뜩있는 어벤져스보다 낮구만 개인적으로 비스트나 블랙어쌔신 능력이 탐난다
이스케이프 플랜3,3,배우들은 내가 좋아하는 배우들인디 영화는 왜!
엑시트,10,미리주자 점수 미리주자ㄱㄱ
변신,1,마귀가 여러 번 가족들의 모습으로 위장하면서 생명을 위협 한다면 한방에 다 같이자야 하는거 아닌가? 그래야 여러 형태로 변신도 못할거고 퇴마사인 동생이 의외로 더 쉽게 마귀를 퇴치할 수 있었는데 이 영화 생각하면 할수록 빈틈이 너무많네ㅡㅡ
봉오동 전투,8,"역사중에 제일 먼저 배워할 굿이 현대사와근대사다하지만 우린.근대사에 대한 역사를 배척하였다나라에서도 학교에서도... 매일 고구려, 신라, ,백제를.운운하였지. 대한민국의 현 근대사를 많이 알리.영화가 나왔으면 좋겠다"
베놈,7,톰하디 팬이라 7점준다 베놈특유의 카리스마는 없는거같다..자꾸억지스럽게 웃길려고하고
그것: 두 번째 이야기,10,꾸루잼 ~! 중간중간 오마주 요소도 많이 보여서 더 재미있었습니다
유열의 음악앨범,6,유열의 음악앨범이 아닌콜드플레이의 픽스유였다.
사자,10,난 재밌게 잘봤는데 댓글들 왜저럼?? 박서준 진짜 멋있고 좋았던 영화.
사자,10,난 재밌게 잘봤는데 댓글들 왜저럼?? 박서준 진짜 멋있고 좋았던 영화.
그것: 두 번째 이야기,1,정말 재미없음 제발 보지마셈
마더 데레사,10,그녀의 용기있었던 삶을 기리며...
맘마미아!2,10,1은 2를 위한 영화였다고 느껴질정도로 제 인생 최고의 영화였어요..감사합니다.
나쁜 남자,1,그의 눈에 여자는 OO뿐
라이온 킹,10,10점이 안아까워요♥♥♥♥
그것만이 내 세상,10,마음 따뜻해지는 영화. 가족영화로 강추합니다??
태풍,10,재미있는데 평점이 낫네
봉오동 전투,1,"영화가 정말... 장면의 개연성이 부족하고, 연출이고 캐릭터 사용이고... 형편없다.애국심이 모든 방패는 되주지는 못한다.영화는 영화 자체로서도 의미가 있어야 하지 않을까."
엑시트,10,울지마 윤아야 각박한 상황에서도 웃긴다.
로망,10,진짜 내 인생 역대급으로 많이 운 영화이다
어벤져스: 엔드게임,10,너무싸고좋고진짜추천해줄만해요
안녕 베일리,6,베일리 99편까지 나올듯
안나,8,킬링타임으로 딱. 생각보다 매력적
유열의 음악앨범,1,보는내내 멍했습니다..
극장판 헬로카봇 : 달나라를 구해줘!,10,딸 아이랑 다시 찾아보게된 카봇~^^ 달나라를 구해줘~~재미있게 잘보았습니다
레드슈즈,10,정말 잘 만든 역대급 애니
유열의 음악앨범,6,생각보다 별로네~내용이 없어ㅜㅜ
엑스맨: 데이즈 오브 퓨처 패스트,8,엑스맨 시리즈 중 통틀어 제일 잘 만든 영화 진짜 개 꿀잼
알라딘,10,노래아름다움 별10개
그것: 두 번째 이야기,1,진짜 지루해서 잤는데... 다 짬뽕된 느낌 공포로 컨셉을 잡긴 했는데 감동도 넣어야겠고 사랑도 넣어야겠고 개그도 넣어야겠고 판타지도 넣어야겠고.. 무섭긴 커녕 혐오스러운 장면만 나오고.. 중간에 지루해서 잤음ㅋㅋㅋ 이게 왜 평점이 높은 거지 돈 아깝다
봉오동 전투,1,일본군 사살이 만능방패인가
라이온 킹,8,나름 감동있고 괜찮았어요
유열의 음악앨범,1,개연성 꽝 몰입도 빵점 무언가를 오마주 한것 같긴한데..
변신,6,떡밥이 풀리다 만듯 옆 집에 있는 사람은 그냥 신부가 악마를 방해해서 씌인건지 아님 원래있던건지 설명이부족함집이 싸게 팔리는데 아무도 안 산 것도 특징을 잘 살리면 와 떡밥 잘풀었네 할 것 같은데 약간 아쉬움 이건 단편드라마가 더 개성살리기 좋아보임
극장판 헬로카봇 : 달나라를 구해줘!,6,OST가 갈수록..너무 대충 만드는 듯한 느낌..ㅠ 이번편은 등장하는 로봇도 별로 없고..그냥 그랬어요
봉오동 전투,1,너무쓰레기연출...진지하게 가려면 쭉 진지하게 만들어주지울컥하다가 갑자기 말도안되는 개그요소를 치다가 ㅡㅡ
광대들: 풍문조작단,10,악의 댓글 이해가 안되네요. 댓글 알바일까요? 저는 재밌게 보았습니다. 함께 보던 관객들에서 호응도를 느꼈는데...보신분들의 댓글이 맞는지...의구심이 드네요...
엑스맨: 다크 피닉스,6,개인적으로 앞전에 나왔던 시리즈에 비해 재미도가 확실히 떨어짐.. 이상한 전개도 마음에 안들고..
의천도룡기,10,김희철이 말해서 뭔가하고 찾아봤더니 어릴때 ㅈㄴ많이본 그 영화다 청경채 하나에 밥먹는거 보면 밥2그릇 뚝딱 먹방의 시초
극장판 헬로카봇 : 달나라를 구해줘!,4,전편들에 비해 실망이 크네요ㅠ아이들영화에 담배피는 아빠등장여러모로 기대이하요
비밀은 없다,10,손예진 연기잘하고 스토리 탄탄하고 연출이 예술 왜 별로라하는지 전혀이해안됨
봉오동 전투,10,iptv 풀려서 봤는데 보길 잘했네요. 재밌어요.
그것: 두 번째 이야기,1,제가 영화보다 중간에 영화관을 나왔던 적이 없는데 이거 보고 지루해서 졸다가 한시간 남기고 나왔어요. 제가 못본 한시간가량은 재밌었을지 모르겠으나 초반 두시간은 정말 지루했습니다. 1편을 보지 않았다면 2를 이해하는게 조금 어렵지 않나 생각이 듭니다.
봉오동 전투,10,한국인이 한번씩 보면 좋습니다
엑스맨: 다크 피닉스,1,엑스맨은 진그레이를 버려라
피터 래빗,10,기대안했는데 되게 웃겼음ㅋㅋㅋ빵빵터지는데 많았음 여기서 토끼한테 진심으로 화내는 거 거의 남자들 같은데 그냥 이런거 보지마라 만화캐릭터에 이렇게 열낼 줄이야ㅋ
세상에서 가장 아름다운 이별,3,관객들을 엄청 슬프게 만들거라는의도가 너무 대놓고 보여서 전 오히려 크게 와닫지 못했네요. 진짜 대성통곡하면서 본 영화도 여럿 있었는데 ..
유열의 음악앨범,7,SoSo...공감포인트 많지않다
그것: 두 번째 이야기,1,와... 공포영화보다가 지루하긴 또 처음완전 비추
봉오동 전투,10,아주 좋은 영화예요 꼭 봐야하는 영화
콘택트,2,쓸데없는 장면들이 너무 많다
